09时00分01秒       CPU     %user     %nice   %system   %iowait    %steal     %idle
09时10分01秒       all      3.36      0.00      4.53      0.00      0.00     92.10
09时20分01秒       all      2.58      0.00      4.11      0.00      0.00     93.32
09时30分01秒       all      2.88      0.00      4.08      0.00      0.00     93.04
09时40分01秒       all      2.43      0.00      3.28      0.00      0.00     94.29
09时50分01秒       all      2.94      0.00      3.81      0.00      0.00     93.24
10时00分01秒       all      3.85      0.00      4.56      0.00      0.00     91.59
10时10分02秒       all      3.27      0.00      4.59      0.00      0.00     92.14
10时20分01秒       all      2.73      0.00      4.09      0.00      0.00     93.18
10时30分01秒       all      2.49      0.00      3.86      0.00      0.00     93.65
10时40分01秒       all      2.62      0.00      4.03      0.00      0.00     93.35
Average:          all      2.50      0.00      4.34      0.00      0.00     93.16
